Label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119
notepad.exe,1,0,1,0,0,0,0,1,415488,1073741824,4096,10,0,368640,163840,4096,200704,0,524288,69632,4096,6,1,0.857,1,2,0,1,2,0,0,0,0,0,0,0,1.002,0,1,16.516,0.413,0,6.208,1.638,6.751,3.900,6.337,6.208,72,131,236,40,232,187,5,0,0,72,131,196,40,233,94,254,255,255,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,102,102,15,31,132,0,0,0,0,0,72,59,13,25,42,3,0,117,16,72,193,193,16,102,247,193,50,314,3,0.010,1,0,140
notepad.exe,1,0,1,0,0,0,0,1,415488,1073741824,4096,10,0,368640,163840,4096,200704,0,524288,69632,4096,6,1,0.857,1,2,0,1,2,0,0,0,0,0,0,0,1.002,0,1,16.516,0.413,0,6.208,1.638,6.751,3.900,6.337,6.208,72,131,236,40,232,187,5,0,0,72,131,196,40,233,94,254,255,255,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,102,102,15,31,132,0,0,0,0,0,72,59,13,25,42,3,0,117,16,72,193,193,16,102,247,193,50,314,3,0.010,1,0,140
notepad.exe,1,0,1,0,0,0,0,1,415488,1073741824,4096,10,0,368640,163840,4096,200704,0,524288,69632,4096,6,1,0.857,1,2,0,1,2,0,0,0,0,0,0,0,1.002,0,1,16.516,0.413,0,6.208,1.638,6.751,3.900,6.337,6.208,72,131,236,40,232,187,5,0,0,72,131,196,40,233,94,254,255,255,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,102,102,15,31,132,0,0,0,0,0,72,59,13,25,42,3,0,117,16,72,193,193,16,102,247,193,50,314,3,0.010,1,0,140
